UserId,UserName,Date,Location,PostId,TagId,TagName
"2415684","jenesaisquoi","2017-12-12 20:16:10","Boston","6802420","4452","r"
"456564","German Attanasio","2017-10-30 19:45:04","Boston, Massachusetts","38568584","120420","watson-conversation"
"456564","German Attanasio","2017-10-23 15:00:32","Boston, Massachusetts","46892502","120420","watson-conversation"
"2415684","jenesaisquoi","2017-05-25 02:27:05","Boston","31931495","4452","r"
"741099","Nyxynyx","2017-12-28 21:39:10","Boston","46144735","114286","solidity"
"741099","Nyxynyx","2017-02-08 08:32:28","Boston","20861880","89401","meteorite"
"3148025","bradnoble","2017-02-03 18:37:44","Boston","42015025","62429","cloudant"
"741099","Nyxynyx","2017-05-23 14:21:50","Boston","6470267","5","php"
"3201696","ajmajmajma","2017-07-31 21:50:45","Boston","45420183","916","fonts"
"3054619","mrlindsey","2017-02-10 19:06:08","Boston","42165059","83679","poltergeist"
"2415684","jenesaisquoi","2017-03-04 21:45:54","Boston","42601445","4452","r"
"3798657","rubicks","2017-10-18 21:02:37","Boston","46806762","1066","continuous-integration"
"456564","German Attanasio","2017-05-11 16:15:14","Boston, Massachusetts","43464805","120420","watson-conversation"
"2415684","jenesaisquoi","2017-06-14 20:58:18","Boston","32301813","4452","r"
"2517719","Floegipoky","2017-08-24 00:33:37","Boston","34009064","105220","neovim"
"2415684","jenesaisquoi","2017-06-14 20:58:18","Boston","32301813","36606","ggplot2"
"741099","Nyxynyx","2017-11-21 10:34:49","Boston","9719302","5","php"
"741099","Nyxynyx","2017-08-05 22:12:41","Boston","45526778","30073","mongodb"
"456564","German Attanasio","2017-11-17 17:11:23","Boston, Massachusetts","47354439","63747","language-translation"
"2415684","jenesaisquoi","2017-12-14 14:01:00","Boston","36108705","4452","r"
"4400697","nmusleh","2017-03-17 19:08:26","Boston","42864577","8277","urllib2"
"2415684","jenesaisquoi","2017-07-08 21:43:54","Boston","34691188","4452","r"
"1443481","Stuart","2017-02-03 14:17:45","Boston","42013783","2888","tcp"
"741099","Nyxynyx","2017-06-14 00:01:13","Boston","44524095","102461","react-jsx"
"741099","Nyxynyx","2017-01-11 10:22:19","Boston","12112188","58","linux"
"6286412","MTL-VRN","2017-11-30 02:58:02","Boston","47564993","34056","treeset"
"1443481","Stuart","2017-02-03 14:17:45","Boston","42013783","4319","future"
"741099","Nyxynyx","2017-10-01 14:31:44","Boston","25898784","103380","onsen-ui"
"7179412","Nil","2017-10-22 14:29:41","Boston","46848235","4452","r"
"456564","German Attanasio","2017-04-03 01:41:57","Boston, Massachusetts","40391114","117721","google-knowledge-graph"
"2501624","aldel","2017-07-05 16:36:12","Boston","44917200","105839","slack-api"
"6687297","Philipp","2017-03-02 15:59:06","Boston, Massachusetts, USA","42559600","5971","skip"
"2285240","Ian Steffy","2017-07-31 11:43:27","Boston","45414074","78022","angularjs"
